
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.13
2                       1.82
4                       2.03
8                       2.53
16                      3.02
32                      4.42
64                      6.58
128                    10.31
256                    16.92
512                    84.07

# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.19
2                       1.83
4                       2.00
8                       2.48
16                      3.01
32                      4.28
64                      6.41
128                    10.32
256                    15.99
512                    84.02
