
# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.88
2                       2.35
4                       2.44
8                       2.70
16                      4.30
32                      4.27
64                      7.29
128                    10.16
256                    15.68
512                    98.82

# OSU MPI Scatter Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.52
2                       2.13
4                       2.73
8                       2.74
16                      3.31
32                      4.45
64                      6.26
128                     9.57
256                    14.68
512                    95.01
